openalex_id	year	book_reviewed	review_title	reviewer(s)	venue	doi	oa_status	oa_url
W1538041423	2011	Death of a Pirate (2010)	Death of a pirate: British radio and the making of the information age		Choice Reviews Online	https://doi.org/10.5860/choice.48-3977	closed	
W2116685880	2011	Death of a Pirate (2010)	Death of a Pirate: British Radio and the Making of the Information Age - By Adrian Johns	John E. Blundell	Economic Affairs	https://doi.org/10.1111/j.1468-0270.2011.02093_2.x	closed	
W2768759110	2011	Death of a Pirate (2010)	Death of a Pirate: British Radio and the Making of the Information Age by Adrian Johns New York, N.Y.: Norton, 2011, 305 pp	Richard C. Robinson	American Journalism	https://doi.org/10.1080/08821127.2011.10678186	closed	
W2330007088	2013	Death of a Pirate (2010)	Book Review: Death of a Pirate: British Radio and the Making of the Information Age	Christopher H. Sterling	Journalism & Mass Communication Quarterly	https://doi.org/10.1177/1077699012472035	closed	
W2514583224	1969	Piracy (2009)	<i>Piracy: The Intellectual Property Wars from Gutenberg to Gates</i>, by Adrian Johns (pp 332-336)	Eli MacLaren	Papers of The Bibliographical Society of Canada	https://doi.org/10.33137/pbsc.v48i2.21925	diamond	https://jps.library.utoronto.ca/index.php/bsc/article/download/21925/17785
W2593048956	2009	Piracy (2009)	Against a Sea of Troubles: A review essay of Adrian Johns' Piracy: The Intellectual Property Wars from Gutenberg to Gates	Nancy McCormack	QSpace (Queen's University Library)		closed	
W4298257326	2010	Piracy (2009)	Piracy: the intellectual property wars from Gutenberg to Gates		Choice Reviews Online	https://doi.org/10.5860/choice.47-5795	closed	
W2026276635	2010	Piracy (2009)	Piracy: The Intellectual Property Wars from Gutenberg to Gates (review)	Willis Goth Regier	MLN	https://doi.org/10.1353/mln.2010.0020	closed	
W1543362846	2010	Piracy (2009)	Adrian Jones: Piracy: The Intellectual Property Wars From Gutenberg to Gates	Nicholas J. Mitchell	Publishing Research Quarterly	https://doi.org/10.1007/s12109-010-9146-7	closed	
W2087449131	2011	Piracy (2009)	Piracy: The Intellectual Property Wars from Gutenberg to Gates (review)	Christine Haynes	Configurations	https://doi.org/10.1353/con.2011.0003	closed	
W2334336793	2011	Piracy (2009)	THE PIRACY LOOP - Adrian Johns: Piracy: The Intellectual Property Wars from Gutenberg to Gates. (Chicago: University of Chicago Press, 2010. Pp. 640. $35.00.)	H. Tomás Gómez-Arostegui	The Review of Politics	https://doi.org/10.1017/s0034670510000987	closed	
